accuracy,kappa,latency_us,pool_memory_kb,active_memory_kb,final_pool_size,mean_active_size,drift_count,stream,method,seed,wall_time_s
0.8000044139392201,0.5796275324849479,132.24305888201275,1097.4072265625,1097.4072265625,2,2.190265486725664,51.0,Electricity,DSPP-Lite,5,19.698169708251957
0.8621747478537221,0.7165378338535753,308.31589695881854,1357.9189453125,547.3369140625,6,2.371681415929204,30.0,Electricity,DSPP-Adaptive,5,61.18049931526184
0.8007547836066298,0.5810815503315822,200.2803984607847,6089.9755859375,2161.6484375,6,2.0,0.0,Electricity,StaticSPP-Lite,5,32.7661406993866
0.8656838295336673,0.7239761354241111,291.28809335173565,1357.2001953125,546.8251953125,6,2.0,0.0,Electricity,StaticSPP-Adaptive,5,59.96764016151428
0.8021231047648474,0.585687903683056,194.14860694785455,6090.2138671875,2161.994140625,6,2.393805309734513,0.0,Electricity,StaticSPPFullSearch-Lite,5,31.73295545578003
0.8621747478537221,0.7165378338535753,303.5581025773516,1357.5673828125,547.3916015625,6,2.371681415929204,0.0,Electricity,StaticSPPFullSearch-Adaptive,5,60.32484984397888
0.8330868883935468,0.6539921537872679,224.5656672171609,867.2998046875,867.2998046875,10,10.0,,Electricity,OB,5,44.04080510139465
0.896669682858467,0.7878853418769202,283.16633481279155,4978.2001953125,4978.2001953125,10,10.0,,Electricity,LB,5,156.7010941505432
0.8857893226810267,0.7654396593111757,222.85875231804903,7630.3701171875,7630.3701171875,10,10.0,,Electricity,ARF,5,69.18100357055664
0.884884465140915,0.7631454265533708,265.3332444820567,3948.111328125,3948.111328125,10,10.0,,Electricity,SRP,5,175.1405291557312
0.8033810774425636,0.5865831359616656,148.3994812416212,1462.1943359375,1462.1943359375,2,2.2389380530973453,59.0,Electricity,DSPP-Lite,6,21.253663539886475
0.8580697843790691,0.7080112287405322,300.1900408292787,1535.830078125,1011.9287109375,6,2.5398230088495577,27.0,Electricity,DSPP-Adaptive,6,59.27419900894165
0.8046169804241795,0.5882300461473898,198.0723886601052,6667.5185546875,2161.6787109375,6,2.0,0.0,Electricity,StaticSPP-Lite,6,32.19541025161743
0.8606960782150029,0.7134318986894307,286.5015724990531,1536.455078125,1012.5263671875,6,2.0,0.0,Electricity,StaticSPP-Adaptive,6,58.96442794799805
0.8058308137096952,0.5928831634535369,199.834831082758,6665.05078125,2344.25390625,6,2.402654867256637,0.0,Electricity,StaticSPPFullSearch-Lite,6,32.21169328689575
0.8580697843790691,0.7080112287405322,301.347130713264,1536.4765625,1012.1455078125,6,2.5398230088495577,0.0,Electricity,StaticSPPFullSearch-Adaptive,6,59.186026096344
0.8376773851824061,0.6634942282007693,230.27174161333076,1900.0205078125,1900.0205078125,10,10.0,,Electricity,OB,6,44.94854521751404
0.8970448676921718,0.7886425073696786,286.153279837218,5769.322265625,5769.322265625,10,10.0,,Electricity,LB,6,156.61544513702393
0.8844872106111099,0.762627411878418,229.346118424176,6313.6591796875,6313.6591796875,10,10.0,,Electricity,ARF,6,72.17070150375366
0.8880845710754562,0.7697313439524274,272.6131288396753,4445.55859375,4445.55859375,10,10.0,,Electricity,SRP,6,180.53951501846316
